OrphaCode,DiseaseName,GeneSymbol,GeneId
1349,Mitochondrial DNA-related cardiomyopathy and hearing loss,MT-TK,16842
171622,Autosomal recessive spastic paraplegia type 32,SPG32,18151
171629,Autosomal recessive spastic paraplegia type 35,FA2H,18006
861,Treacher-Collins syndrome,POLR1B,29805
861,Treacher-Collins syndrome,TCOF1,15595
861,Treacher-Collins syndrome,POLR1D,19584
861,Treacher-Collins syndrome,POLR1C,19587
308,Progressive myoclonic epilepsy type 1,CSTB,15815
308,Progressive myoclonic epilepsy type 1,SCARB2,17585
308,Progressive myoclonic epilepsy type 1,PRICKLE1,17886
199,Cornelia de Lange syndrome,SMC1A,15527
199,Cornelia de Lange syndrome,NIPBL,16548
199,Cornelia de Lange syndrome,SMC3,16795
199,Cornelia de Lange syndrome,HDAC8,20779
199,Cornelia de Lange syndrome,RAD21,21189
199,Cornelia de Lange syndrome,BRD4,23630
930,Idiopathic achalasia,CRLF1,16440
930,Idiopathic achalasia,HLA-DQA1,16829
930,Idiopathic achalasia,HLA-DQB1,18703
930,Idiopathic achalasia,NOS1,23220
1727,22q11.2 duplication syndrome,TBX1,15584
169079,Cernunnos-XLF deficiency,NHEJ1,17345
168984,CLAPO syndrome,PIK3CA,15093
169100,Immunodeficiency due to CD25 deficiency,IL2RA,17467
169095,Severe combined immunodeficiency due to FOXN1 deficiency,FOXN1,18346
169082,Combined immunodeficiency due to CD3gamma deficiency,CD3G,18441
169085,Susceptibility to respiratory infections associated with CD8alpha chain mutation,CD8A,18957
168829,Primary peritoneal carcinoma,BRCA1,15377
753,"46,XY difference of sex development due to 5-alpha-reductase 2 deficiency",SRD5A2,15556
868,Triose phosphate-isomerase deficiency,TPI1,15646
218,Darier disease,ATP2A2,15324
168796,"Heart-hand syndrome, Slovenian type",LMNA,16364
1465,Coffin-Siris syndrome,ARID2,24352
1465,Coffin-Siris syndrome,SMARCB1,15526
1465,Coffin-Siris syndrome,SMARCA4,18993
1465,Coffin-Siris syndrome,ARID1B,20833
1465,Coffin-Siris syndrome,ARID1A,20834
1465,Coffin-Siris syndrome,SMARCE1,22035
1465,Coffin-Siris syndrome,SOX11,22956
1465,Coffin-Siris syndrome,SOX4,28273
1465,Coffin-Siris syndrome,DPF2,27130
1465,Coffin-Siris syndrome,SMARCD1,26514
1465,Coffin-Siris syndrome,SMARCC2,24929
168953,Myeloid/lymphoid neoplasm associated with FGFR1 rearrangement,FGFR1,16046
168950,Myeloid/lymphoid neoplasm associated with PDGFRB rearrangement,PDGFRB,16785
168947,Myeloid/lymphoid neoplasm associated with PDGFRA rearrangement,PDGFRA,16629
168940,Chronic eosinophilic leukemia,FIP1L1,16051
168940,Chronic eosinophilic leukemia,PDGFRA,16629
2609,Isolated complex I deficiency,TMEM126B,24095
2609,Isolated complex I deficiency,NDUFAF8,27615
2609,Isolated complex I deficiency,TIMMDC1,24983
2609,Isolated complex I deficiency,NDUFB11,23222
2609,Isolated complex I deficiency,NDUFA6,24739
